priority_rank,name,state,city,tier,assets_musd,offices,est_net_benefit,net_low,net_high,roi_pct,log_assets,log_offices,cluster,segment,segment_rank
213,Cache Valley Bank,UT,Logan,Large / regional,3497.3,24.0,1154360.3321510209,513593.7183310209,1795126.9459710205,363.0837617442021,6.543732887887258,3.2188758248682006,1,A — Target first,1
214,"Macatawa Bank, National Association",MI,Holland,Large / regional,3479.5,28.0,1148224.5602638174,510720.2727338177,1785728.8477938175,362.2616185832896,6.541516840831034,3.367295829986474,1,A — Target first,1
215,The Farmers & Merchants State Bank,OH,Archbold,Large / regional,3479.3,41.0,1148153.2347810273,510686.8727560273,1785619.5968060268,362.25204610033705,6.541491877073948,3.7376696182833684,1,A — Target first,1
217,Manasquan Bank,NJ,Manasquan,Large / regional,3459.6,15.0,1141340.598412563,507496.9465825633,1775184.250242563,361.3360858686007,6.539025888435833,2.772588722239781,1,A — Target first,1
219,Lone Star National Bank,TX,Pharr,Large / regional,3409.0,36.0,1123932.2917610204,499348.1428160204,1748516.4407060205,358.98056046389434,6.532627001228891,3.6109179126442243,1,A — Target first,1
220,PCB Bank,CA,Los Angeles,Large / regional,3395.1,19.0,1119144.1711487726,497107.44356377225,1741180.8987337723,358.328851371183,6.53085257060727,2.995732273553991,1,A — Target first,1
222,Bankwell Bank,CT,New Canaan,Large / regional,3364.6,11.0,1108643.6841208802,492194.4643908804,1725092.9038508802,356.8937642974353,6.526933440590141,2.4849066497880004,1,A — Target first,1
223,Red River Bank,LA,Alexandria,Large / regional,3345.4,29.0,1102042.75157502,489106.6794700201,1714978.8236800202,355.98745277660714,6.524448052569276,3.4011973816621555,1,A — Target first,1
224,"Fidelity Bank, National Association",KS,Wichita,Large / regional,3345.4,16.0,1102040.6862465627,489105.7134315628,1714975.659061563,355.9871686978583,6.524448052569276,2.833213344056216,1,A — Target first,1
225,Northrim Bank,AK,Anchorage,Large / regional,3336.9,21.0,1099084.6108894392,487723.0884944392,1710446.133284439,355.5802435263469,6.523343191941299,3.091042453358316,1,A — Target first,1
226,Lake Ridge Bank,WI,Middleton,Large / regional,3334.1,20.0,1098147.712296271,487284.9011312711,1709010.523461271,355.4511358855469,6.522978621525847,3.044522437723423,1,A — Target first,1
227,Bank of Ann Arbor,MI,Ann Arbor,Large / regional,3329.4,19.0,1096534.8611862997,486530.5955112994,1706539.1268613,355.228725195427,6.522365975197809,2.995732273553991,1,A — Target first,1
228,BankFirst Financial Services,MS,Columbus,Large / regional,3323.0,51.0,1094324.2560533616,485496.7803233614,1703151.7317833612,354.92356625257656,6.521530341278711,3.9512437185814275,1,A — Target first,1
229,"Old Plank Trail Community Bank, National Association",IL,New Lenox,Large / regional,3321.0,16.0,1093640.4122675878,485176.98474258767,1702103.8397925876,354.8290915320668,6.521268875598385,2.833213344056216,1,A — Target first,1
230,Union Savings Bank,CT,Danbury,Large / regional,3302.1,26.0,1087134.6188303712,482134.87088037113,1692134.3667803712,353.9285253064732,6.518790221195273,3.295836866004329,1,A — Target first,1
232,First Dakota National Bank,SD,Yankton,Large / regional,3296.3,17.0,1085121.648897355,481193.708697355,1689049.5890973548,353.6492258474668,6.518026730456979,2.8903717578961645,1,A — Target first,1
233,"Ponce Bank, National Association",NY,Bronx,Large / regional,3289.5,13.0,1082778.4623165608,480098.21626656107,1685458.7083665612,353.3237177519302,6.517129890733204,2.639057329615259,1,A — Target first,1
235,"Academy Bank, National Association",MO,Kansas City,Large / regional,3275.3,80.0,1077907.0339306565,477820.9290656565,1677993.1387956564,352.64564153563146,6.515251085206437,4.394449154672439,1,A — Target first,1
236,TruNorth Bank,MA,Peabody,Large / regional,3270.6,30.0,1076300.4324694865,477069.9416544864,1675530.923284486,352.42160905981973,6.5146274324113405,3.4339872044851463,1,A — Target first,1
237,BCB Community Bank,NJ,Bayonne,Large / regional,3268.3,27.0,1075506.4425042646,476698.8119092647,1674314.0730992646,352.3108172136972,6.5143219139450625,3.332204510175204,1,A — Target first,1
238,"Austin Bank, Texas National Association",TX,Jacksonville,Large / regional,3267.6,39.0,1075257.0335941466,476582.23387414654,1673931.8333141466,352.2760050605209,6.514228887387589,3.6888794541139363,1,A — Target first,1
239,Northern Bank & Trust Company,MA,Woburn,Large / regional,3267.2,14.0,1075110.48503147,476513.7349014699,1673707.23516147,352.2555477578747,6.514175720406816,2.70805020110221,1,A — Target first,1
240,Exchange Bank,CA,Santa Rosa,Large / regional,3266.5,21.0,1074864.5184931508,476398.7670881509,1673330.2698981508,352.22120854665366,6.514082662525832,3.091042453358316,1,A — Target first,1
241,Banterra Bank,IL,Marion,Large / regional,3260.3,43.0,1072731.7207015858,475401.9022965861,1670061.5391065858,351.9232526693076,6.513257563979005,3.784189633918261,1,A — Target first,1
242,ACNB Bank,PA,Gettysburg,Large / regional,3253.2,33.0,1070309.4035849578,474269.78520995774,1666349.0219599577,351.5844198075893,6.51231076362811,3.5263605246161616,1,A — Target first,1
243,First Western Trust Bank,CO,Denver,Large / regional,3238.8,15.0,1065345.4921651217,471950.0326701215,1658740.951660121,350.888632044194,6.510384130604141,2.772588722239781,1,A — Target first,1
244,1st Security Bank of Washington,WA,Mountlake Terrace,Large / regional,3203.4,31.0,1053179.2795451817,466265.78353518166,1640092.7755551815,349.17505121035816,6.5056111712415525,3.4657359027997265,1,A — Target first,1
245,STAR Financial Bank,IN,Fort Wayne,Large / regional,3190.2,37.0,1048644.3726507518,464147.4824907516,1633141.2628107516,348.53328918167966,6.503817910697822,3.6375861597263857,1,A — Target first,1
246,The Bank of Greene County,NY,Catskill,Large / regional,3181.8,19.0,1045745.9351528132,462793.73065781314,1628698.1396478126,348.12224282068865,6.5026728775022065,2.995732273553991,1,A — Target first,1
247,WestStar Bank,TX,El Paso,Large / regional,3175.0,14.0,1043407.3245347344,461701.53168473433,1625113.1173847346,347.79009158609483,6.501743729627995,2.70805020110221,1,A — Target first,1
249,First National Bank,ME,Damariscotta,Large / regional,3165.0,18.0,1039980.60344419,460101.28092919,1619859.92595919,347.30259058347974,6.5003737143533735,2.9444389791664403,1,A — Target first,1
250,Bristol County Savings Bank,MA,Taunton,Large / regional,3157.7,18.0,1037479.7479343944,458933.4977593944,1616025.9981093942,346.94619996020987,6.499370867111967,2.9444389791664403,1,A — Target first,1
253,Citizens & Northern Bank,PA,Wellsboro,Large / regional,3153.9,35.0,1036164.7632551508,458319.4936701507,1614010.0328401504,346.7585984108795,6.49884791913344,3.58351893845611,1,A — Target first,1
254,Farmers Bank & Trust Company,AR,Magnolia,Large / regional,3143.4,38.0,1032557.1929688052,456635.13123880536,1608479.2546988053,346.2431931870442,6.49739964883159,3.6635616461296463,1,A — Target first,1
255,Bank of Guam,GU,Hagatna,Large / regional,3142.3,17.0,1032186.040635455,456461.85110545496,1607910.230165455,346.19010637243144,6.49724764541591,2.8903717578961645,1,A — Target first,1
256,Oakstar Bank,MO,Springfield,Large / regional,3135.1,29.0,1029704.9054890296,455303.52825902967,1604106.282719029,345.8349296434453,6.496251398039319,3.4011973816621555,1,A — Target first,1
257,The National Bank of Indianapolis,IN,Indianapolis,Large / regional,3129.0,13.0,1027584.3767358628,454313.61927086266,1600855.1342008626,345.5309676528536,6.4954055631461936,2.639057329615259,1,A — Target first,1
259,Lawrence Bank,TN,Nashville,Large / regional,3072.7,36.0,1008275.9119528232,445302.7535628232,1571249.0703428232,342.7457952349815,6.4875201604175725,3.6109179126442243,1,A — Target first,1
260,BankNewport,RI,Middletown,Large / regional,3068.9,20.0,1006969.438094754,444693.22956475406,1569245.6466247535,342.5561920462604,6.4869827371917586,3.044522437723423,1,A — Target first,1
261,The Bank of Tampa,FL,Tampa,Large / regional,3065.1,13.0,1005638.2806211038,444072.2134311038,1567204.347811103,342.36285505954334,6.486444648100676,2.639057329615259,1,A — Target first,1
262,Centreville Bank,RI,West Warwick,Large / regional,3051.2,23.0,1000881.0325182216,441853.0427232216,1559909.0223132218,341.6706582867434,6.484470675701931,3.1780538303479458,1,A — Target first,1
